########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	3896
file                           	Q30-012_Q_BOA_070.0A_180504_095442.dat
date                           	04/05/2018
hour                           	09:54:42
operator                       	Lucas Balthazar
software_version               	v3.2
bench                          	1
temperature(C)                 	23.49
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+6.999625e+01
main_coil_current_std(A)       	+5.501196e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_24-04-2018_r=13mm_Q30
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282824
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -5.564293e-05   	  +2.365484e-07   	  -5.942951e-06   	  +4.002534e-07   	  +5.595940e-05   	  +2.390207e-07   	  +0.000000e+00   	  +0.000000e+00   	  +7.434633e-04   	  +3.160600e-06   	  +7.940570e-05   	  +5.347916e-06   
2   	  -6.236906e+00   	  +1.339618e-05   	  +3.586446e-03   	  +2.741355e-05   	  +6.236907e+00   	  +1.339619e-05   	  -2.875180e-04   	  +2.197687e-06   	  +1.000000e+00   	  +3.037574e-06   	  -5.750360e-04   	  +4.395376e-06   
3   	  -1.586376e-01   	  +1.974499e-03   	  -4.598603e-02   	  +1.884698e-03   	  +1.651684e-01   	  +1.967684e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.052236e-04   	  +3.798997e-06   	  +8.847854e-05   	  +3.626216e-06   
4   	  -6.985530e+00   	  +1.917105e-01   	  +1.130387e+00   	  +1.507712e-01   	  +7.076398e+00   	  +1.907751e-01   	  +0.000000e+00   	  +0.000000e+00   	  +1.612845e-04   	  +4.426283e-06   	  -2.609880e-05   	  +3.481061e-06   
5   	  -1.420263e+02   	  +1.288808e+01   	  +6.990422e+01   	  +1.703500e+01   	  +1.582974e+02   	  +1.379497e+01   	  +0.000000e+00   	  +0.000000e+00   	  +3.934987e-05   	  +3.570776e-06   	  -1.936769e-05   	  +4.719725e-06   
6   	  +3.288500e+05   	  +1.120066e+03   	  -3.670366e+04   	  +1.674552e+03   	  +3.308919e+05   	  +1.128545e+03   	  +0.000000e+00   	  +0.000000e+00   	  -1.093336e-03   	  +3.723911e-06   	  +1.220296e-04   	  +5.567426e-06   
7   	  -1.707723e+05   	  +8.285806e+04   	  +1.971396e+05   	  +1.160891e+05   	  +2.608202e+05   	  +1.031623e+05   	  +0.000000e+00   	  +0.000000e+00   	  +6.813250e-06   	  +3.305763e-06   	  -7.865225e-06   	  +4.631571e-06   
8   	  +1.977220e+07   	  +1.084874e+07   	  +2.725692e+06   	  +7.726168e+06   	  +1.995919e+07   	  +1.079877e+07   	  +0.000000e+00   	  +0.000000e+00   	  -9.466140e-06   	  +5.193947e-06   	  -1.304959e-06   	  +3.698984e-06   
9   	  -1.987110e+09   	  +7.184112e+08   	  -6.985983e+08   	  +1.137471e+09   	  +2.106335e+09   	  +7.756714e+08   	  +0.000000e+00   	  +0.000000e+00   	  +1.141620e-05   	  +4.127362e-06   	  +4.013539e-06   	  +6.534915e-06   
10  	  -2.575863e+13   	  +6.601198e+10   	  +1.183591e+12   	  +7.004369e+10   	  +2.578580e+13   	  +6.602073e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.775838e-03   	  +4.550967e-06   	  -8.159856e-05   	  +4.828917e-06   
11  	  +8.151431e+12   	  +6.219603e+12   	  -9.078544e+12   	  +4.397198e+12   	  +1.220106e+13   	  +5.288793e+12   	  +0.000000e+00   	  +0.000000e+00   	  -6.743664e-06   	  +5.145466e-06   	  +7.510665e-06   	  +3.637793e-06   
12  	  -7.501898e+14   	  +4.012101e+14   	  +2.561093e+14   	  +4.446517e+14   	  +7.927021e+14   	  +4.059621e+14   	  +0.000000e+00   	  +0.000000e+00   	  +7.447559e-06   	  +3.983044e-06   	  -2.542539e-06   	  +4.414314e-06   
13  	  +9.594853e+16   	  +2.759683e+16   	  +3.845247e+16   	  +6.097623e+16   	  +1.033669e+17   	  +3.421578e+16   	  +0.000000e+00   	  +0.000000e+00   	  -1.143043e-05   	  +3.287636e-06   	  -4.580888e-06   	  +7.264154e-06   
14  	  +5.047727e+20   	  +3.092510e+18   	  -2.459221e+19   	  +5.306418e+18   	  +5.053714e+20   	  +3.099620e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.216084e-04   	  +4.420962e-06   	  +3.515631e-05   	  +7.585902e-06   
15  	  -5.790966e+19   	  +2.808904e+20   	  +3.745933e+20   	  +2.492684e+20   	  +3.790431e+20   	  +2.500521e+20   	  +0.000000e+00   	  +0.000000e+00   	  +9.934296e-07   	  +4.818634e-06   	  -6.426089e-06   	  +4.276162e-06   

magnetic_center_x(um) 	-8.922
magnetic_center_y(um) 	-0.953


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.605115514598e-05	2.616323945404e-05	2.610897354316e-05	2.628372749314e-05	2.630744165799e-05	2.640296588652e-05	2.625874913065e-05	2.631251300045e-05	2.632100768096e-05	2.620147824928e-05
7.81206326792e-05	7.793190161465e-05	7.806053326931e-05	7.799721788615e-05	7.799366721883e-05	7.791591633577e-05	7.78952089604e-05	7.788079528837e-05	7.799547165632e-05	7.789044320816e-05
0.0001293720997637	0.0001294739777222	0.0001294150570175	0.0001293600216741	0.0001293550303672	0.0001292817323701	0.0001294200337725	0.0001293711538892	0.0001293646346312	0.000129463209305
0.0001788581721485	0.0001788519730326	0.0001788136432879	0.0001789051311789	0.0001788604567992	0.0001790058158804	0.0001789746020222	0.0001790592941688	0.0001788999215933	0.0001789649249986
0.0002268321986776	0.0002267589443363	0.0002268232638016	0.000226894611842	0.0002268353709951	0.000226859585382	0.0002266548544867	0.0002266740630148	0.0002267458476126	0.0002266879746458
0.0002721945929807	0.000272208097158	0.0002722831559367	0.0002721935161389	0.0002721673808992	0.0002720667689573	0.000272256846074	0.0002722191857174	0.0002722983481362	0.0002722658391576
0.0003133956051897	0.0003134063153993	0.0003133496211376	0.0003133314312436	0.0003133736609016	0.0003134187718388	0.0003134510770906	0.0003134233411402	0.0003134062862955	0.0003133824793622
0.000351817056071	0.0003517809673212	0.0003517756413203	0.0003519099554978	0.0003518227022141	0.0003519237216096	0.000351809168933	0.0003518438898027	0.0003517788136378	0.00035183885484
0.0003849764179904	0.000384860264603	0.0003849714703392	0.0003847681800835	0.0003848940250464	0.0003848956548609	0.000384956743801	0.000384852202842	0.000384976650821	0.0003848252235912
0.0004151179746259	0.0004152015026193	0.0004151733883191	0.000415179238189	0.0004151602624916	0.0004151061002631	0.0004152059846092	0.0004152331675868	0.000415165501181	0.0004153733025305
0.0004412313865032	0.0004411163390614	0.0004410346155055	0.0004414164577611	0.0004411500412971	0.0004413396236487	0.0004410777764861	0.0004412555426825	0.0004409374669194	0.0004412146518007
0.0004640862171073	0.000464282464236	0.0004642730928026	0.0004640857805498	0.0004641644190997	0.0004640643601306	0.0004641583946068	0.0004641160485335	0.000464483484393	0.0004639295802917
0.0004838741733693	0.000483804527903	0.000484204327222	0.0004835771978833	0.000484007934574	0.0004836501320824	0.0004838406457566	0.0004840616311412	0.0004839113680646	0.0004842383787036
0.000494105683174	0.0004940638318658	0.0004937542253174	0.000494452600833	0.0004940528888255	0.0004943673848175	0.0004943105159327	0.0004938199999742	0.0004939975915477	0.0004941247170791
0.0004991283640265	0.0004989618901163	0.0004989017616026	0.0004989221342839	0.000498651585076	0.0004991104942746	0.0004988086293451	0.0004989738808945	0.0004987414577045	0.0004985855775885
0.0004991005989723	0.0004994816263206	0.0004996120696887	0.0004990157322027	0.0004994024639018	0.00049877964193	0.0004991660825908	0.0004994071787223	0.0004993876791559	0.0004989872686565
0.0004964540712535	0.0004961792728864	0.0004958776989952	0.0004964308463968	0.0004961512750015	0.0004964646068402	0.000496557157021	0.0004961988306604	0.0004963699029759	0.0004968666471541
0.0004830867692363	0.0004830770485569	0.00048356608022	0.000483413314214	0.0004836652951781	0.0004836805164814	0.0004831536789425	0.0004832535923924	0.0004834064748138	0.0004832285048906
0.000463252159534	0.0004633390053641	0.0004635689838324	0.0004631898191292	0.0004629913892131	0.0004628155729733	0.0004629812319763	0.0004631777119357	0.0004630466282833	0.0004628676979337
0.0004424663784448	0.0004428835527506	0.0004415335715748	0.0004420434124768	0.0004421817720868	0.0004426681261975	0.0004426351515576	0.0004425685328897	0.0004423755162861	0.0004425320366863
0.0004147695435677	0.0004142527177464	0.0004151631146669	0.0004153929767199	0.0004156844515819	0.0004148553707637	0.0004150900349487	0.000414965354139	0.0004150268214289	0.0004151542671025
0.0003853573871311	0.0003852562513202	0.0003856575640384	0.0003852263907902	0.0003847755724564	0.0003848345659208	0.0003851080837194	0.0003852194349747	0.000385042920243	0.0003851699002553
0.0003512500261422	0.0003516594879329	0.0003510178648867	0.0003509203379508	0.0003511262475513	0.0003516477008816	0.0003511407703627	0.0003510665846989	0.0003514365816955	0.0003510712704156
0.0003139561449643	0.0003136728482787	0.0003136671730317	0.0003143337962683	0.000314036529744	0.0003140498010907	0.0003140373446513	0.000314011820592	0.0003140229673591	0.0003141880442854
0.000272999284789	0.0002731399144977	0.0002731169806793	0.000272679986665	0.0002730225969572	0.0002726253005676	0.0002730548440013	0.0002728429099079	0.0002728572289925	0.000272865727311
0.0002261859190185	0.0002262523921672	0.0002266149967909	0.000226297401241	0.0002265962102683	0.0002263737114845	0.0002261921617901	0.000226319374633	0.0002263486676384	0.0002261054323753
0.0001789433590602	0.0001788741355995	0.0001787035289453	0.0001790705864551	0.0001785558270058	0.0001791371469153	0.0001790179521777	0.0001790070236893	0.0001789970410755	0.0001791502145352
0.0001297628768953	0.0001298125571338	0.0001296222180827	0.0001297360722674	0.0001297075941693	0.0001295901893172	0.0001297023409279	0.000129855965497	0.0001296313712373	0.0001296234840993
7.894227746874e-05	7.884605292929e-05	7.907313556643e-05	7.887782703619e-05	7.918998744572e-05	7.882463251008e-05	7.884483784437e-05	7.886825915193e-05	7.88977558841e-05	7.884226943133e-05
2.671716538316e-05	2.679275530681e-05	2.685665640456e-05	2.671258152986e-05	2.678597957129e-05	2.697599120438e-05	2.686537300178e-05	2.664349631232e-05	2.690633664315e-05	2.683648926904e-05
-2.530696474423e-05	-2.533644510549e-05	-2.551602483436e-05	-2.536710780987e-05	-2.554826824053e-05	-2.536538704589e-05	-2.535211388022e-05	-2.526086973376e-05	-2.540231798775e-05	-2.533123370085e-05
-7.712996011833e-05	-7.712432852713e-05	-7.725718751317e-05	-7.697138789808e-05	-7.713012018939e-05	-7.721846486675e-05	-7.709245983278e-05	-7.693682709942e-05	-7.721823931206e-05	-7.714099047007e-05
-0.000128011815832	-0.000128060055431	-0.0001277360570384	-0.0001280550059164	-0.0001277123374166	-0.000128010608023	-0.0001280492870137	-0.0001282390585402	-0.0001279804273508	-0.0001280202850467
-0.0001776578137651	-0.0001777377474355	-0.0001777271390893	-0.0001778253936209	-0.0001778891019057	-0.0001776344142854	-0.0001776998542482	-0.0001777756842785	-0.0001776812132448	-0.000177718946361
