########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	40708
file                           	Q30-002_Q_BOA_120.0A_200930_161430.dat
date                           	30/09/2020
hour                           	16:14:30
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.202
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.199898e+02
main_coil_current_std(A)       	+7.451598e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	-2.002800e+00
trim_coil_current_std(A)   	+2.011964e-02

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232469
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 5 - Medida 5
Main = 120A
Trim = -10 a 10A
Fator = 1.5%
Rampas de excitação M5



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.717390e-04   	  +2.110808e-06   	  -2.979782e-05   	  +9.581895e-07   	  +1.743049e-04   	  +2.086176e-06   	  -1.717961e-01   	  +5.798437e-03   	  -1.361747e-03   	  +1.673695e-05   	  +2.362718e-04   	  +7.597645e-06   
2   	  -1.050972e+01   	  +7.352041e-05   	  +1.353317e-02   	  +1.345700e-04   	  +1.050973e+01   	  +7.352056e-05   	  -6.438402e-04   	  +6.402161e-06   	  +1.000000e+00   	  +9.893085e-06   	  -1.287681e-03   	  +1.280434e-05   
3   	  +6.128841e-02   	  +5.670192e-03   	  -1.889430e-01   	  +7.743259e-03   	  +1.986347e-01   	  +7.570388e-03   	  -4.190433e-01   	  +9.899267e-03   	  -6.997911e-05   	  +6.474226e-06   	  +2.157352e-04   	  +8.841254e-06   
4   	  -1.052307e+01   	  +6.974177e-01   	  -5.842624e+00   	  +2.231121e-01   	  +1.203624e+01   	  +6.192832e-01   	  +1.267106e-01   	  +8.115400e-03   	  +1.441829e-04   	  +9.555739e-06   	  +8.005330e-05   	  +3.056992e-06   
5   	  +3.619362e+01   	  +3.444868e+01   	  +1.713298e+02   	  +5.356125e+01   	  +1.751110e+02   	  +5.288617e+01   	  +2.725212e-01   	  +4.051869e-02   	  -5.950936e-06   	  +5.664024e-06   	  -2.816992e-05   	  +8.806498e-06   
6   	  +5.757177e+05   	  +2.426847e+03   	  -1.531815e+04   	  +4.658551e+03   	  +5.759214e+05   	  +2.429151e+03   	  -4.433463e-03   	  +1.347797e-03   	  -1.135909e-03   	  +4.788250e-06   	  +3.022319e-05   	  +9.191463e-06   
7   	  +3.582011e+05   	  +2.611887e+05   	  +3.138734e+05   	  +2.802185e+05   	  +4.762610e+05   	  +2.696189e+05   	  +1.027910e-01   	  +8.162296e-02   	  -8.480889e-06   	  +6.183999e-06   	  -7.431381e-06   	  +6.634555e-06   
8   	  +2.162147e+07   	  +1.837142e+07   	  +2.431907e+07   	  +1.379207e+07   	  +3.254083e+07   	  +1.597643e+07   	  +1.055063e-01   	  +6.340917e-02   	  -6.143026e-06   	  +5.219622e-06   	  -6.909452e-06   	  +3.918554e-06   
9   	  +3.338786e+09   	  +1.626916e+09   	  -2.325017e+09   	  +1.588779e+09   	  +4.068562e+09   	  +1.614561e+09   	  -6.758698e-02   	  +4.373190e-02   	  -1.138325e-05   	  +5.546801e-06   	  +7.926914e-06   	  +5.416779e-06   
10  	  -4.541743e+13   	  +1.121366e+11   	  +7.551538e+11   	  +1.905099e+11   	  +4.542370e+13   	  +1.121658e+11   	  -1.662543e-03   	  +4.193685e-04   	  +1.858152e-03   	  +4.587835e-06   	  -3.089543e-05   	  +7.794286e-06   
11  	  +5.237301e+11   	  +1.000763e+13   	  -1.022757e+13   	  +7.982233e+12   	  +1.024097e+13   	  +7.988200e+12   	  -1.381485e-01   	  +8.879549e-02   	  -2.571315e-07   	  +4.913279e-06   	  +5.021269e-06   	  +3.918902e-06   
12  	  -1.539765e+15   	  +8.041656e+14   	  -8.335883e+14   	  +5.968363e+14   	  +1.750927e+15   	  +7.621324e+14   	  +4.134969e-02   	  +3.091952e-02   	  +9.071438e-06   	  +4.737691e-06   	  +4.911037e-06   	  +3.516224e-06   
13  	  -1.085217e+17   	  +7.403966e+16   	  -3.168655e+16   	  +4.378397e+16   	  +1.130531e+17   	  +7.212370e+16   	  +2.185277e-02   	  +3.189312e-02   	  +7.672184e-06   	  +5.234400e-06   	  +2.240147e-06   	  +3.095406e-06   
14  	  +9.249019e+20   	  +3.369304e+18   	  -1.747993e+19   	  +5.222699e+18   	  +9.250671e+20   	  +3.370148e+18   	  -1.349784e-03   	  +4.032259e-04   	  -7.846563e-04   	  +2.858412e-06   	  +1.482940e-05   	  +4.430765e-06   
15  	  -1.260813e+20   	  +3.337579e+20   	  +3.106323e+20   	  +1.986583e+20   	  +3.352445e+20   	  +2.227980e+20   	  -7.901508e-02   	  +6.326761e-02   	  +1.283548e-06   	  +3.397791e-06   	  -3.162367e-06   	  +2.022422e-06   

magnetic_center_x(um) 	16.341
magnetic_center_y(um) 	-2.835


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
4.31704047514398e-05	4.33226458881155e-05	4.311477590817495e-05	4.311623793910455e-05	4.32341213490824e-05	4.32785412886029e-05	4.32608822484363e-05	4.3181509736315e-05	4.321001933931415e-05	4.32729977546812e-05
0.000129668568915799	0.00012963874061823298	0.00012981530235265602	0.000129841747912002	0.000129673069677678	0.00012969075738512699	0.000129617870843462	0.0001298219818272685	0.0001297225923917715	0.00012956767444846848
0.0002153699692280155	0.000215367890850731	0.0002152868484699615	0.00021529097655728752	0.000215297283357347	0.00021534071427599898	0.0002154378389968365	0.000215191644456375	0.00021534601772147	0.000215469917675342
0.0002980555580870705	0.000298053981387031	0.000298124187538619	0.0002980904174910035	0.0002981572409043715	0.00029797850045721496	0.000298086002730952	0.0002981811494100525	0.0002980636135908245	0.00029812656692225053
0.0003773291967808835	0.000377352245268388	0.0003772346521145755	0.0003772781117004705	0.00037729806412248047	0.000377297404775202	0.00037723513945819897	0.000377274126949458	0.000377272951591313	0.0003771878097904605
0.0004533034903579615	0.000453108925576121	0.0004532515452592735	0.00045319627475695	0.000453138510201826	0.000453259142086647	0.00045332802954357946	0.0004531600393238755	0.00045333026559089747	0.0004532632701738745
0.0005226196377771385	0.0005226727295667285	0.000522542064136318	0.0005226287539698684	0.0005227280574035381	0.0005225324892672074	0.000522549918969174	0.0005226440622936859	0.0005225143142161351	0.0005225735408021296
0.0005858290253672895	0.000585876211698616	0.000586017541354553	0.0005858408362837181	0.0005859424904337759	0.00058599821961248	0.0005858993748551909	0.0005859573974157976	0.000585953728004852	0.0005859407130628386
0.0006418397740344306	0.000641971815493884	0.0006418203949578715	0.000641947677650062	0.000641855082358248	0.0006418178722379265	0.000641952207079184	0.000641736285178949	0.0006419409695081079	0.0006419624699629144
0.000692862531868733	0.0006927372558857194	0.0006928662012796785	0.0006926862854743771	0.0006928590917960269	0.0006928458475158725	0.000692787595617125	0.000692749926820423	0.0006927398359403476	0.000692829736508463
0.000735064427135494	0.0007352531151264125	0.0007350893103285204	0.0007352343093953045	0.0007349803746910575	0.0007350009577931029	0.000735196583264018	0.0007351307632052384	0.0007352379788062499	0.000735087590292069
0.0007734835610608166	0.000773454205773351	0.0007734569578315355	0.0007733194695901989	0.0007735701362252965	0.0007734023753437335	0.0007734519123914485	0.000773451396380582	0.00077334372210319	0.0007733894177363045
0.0008071475970791215	0.0008071810804540115	0.000807152929191934	0.0008072689169784641	0.0008072516592801525	0.0008074156360816996	0.000807371889823079	0.000807349242677469	0.0008073478666483275	0.0008071891646250084
0.000824438893469057	0.000824116615985987	0.000824406728788724	0.0008242785860784554	0.000824323708366119	0.0008242654564673715	0.0008242846062057894	0.000824331964540771	0.0008242515241726955	0.0008245324061135335
0.0008323972151265605	0.0008325941019575464	0.0008323712425772165	0.000832661068707228	0.000832309550605763	0.0008325587838771345	0.0008324307558359365	0.0008322854127618425	0.000832585960451965	0.000832296765001989
0.0008331103422096645	0.0008330382153508255	0.0008331692247884475	0.000832863631658238	0.0008332227752544181	0.0008328760159202161	0.0008332255273126025	0.000833096696587714	0.000833026461768883	0.0008332597560365985
0.000825741419685048	0.0008257863126345705	0.000825854368740668	0.0008257043242337971	0.0008255496356287334	0.0008257503065397355	0.0008257458344450995	0.000825843589846071	0.000825765844201694	0.000825622565171263
0.0008058219650411401	0.000805918917758421	0.0008059225871693666	0.000805990127264499	0.000806072574341653	0.0008059483877150555	0.000805865825968831	0.0008058422041358755	0.0008059924779808875	0.0008059372648131485
0.0007739937238511144	0.00077381816547128	0.000773764672339894	0.0007736341789132369	0.0007736104424111125	0.000773698622942875	0.0007737920782528655	0.0007736350962658995	0.000773679587873626	0.000773753205430677
0.000736154528858639	0.000736460637999715	0.0007364492857595685	0.00073675602558068	0.0007367277023149475	0.000736406800861019	0.0007366822933545585	0.000736732633085964	0.0007366187666775829	0.0007365870606736304
0.0006917649193201405	0.000691473774495572	0.0006914826040155765	0.0006914498086553065	0.000691324876679603	0.0006915194701286864	0.0006916632651700825	0.0006913225832977006	0.0006914791066082859	0.000691396430192991
0.0006427539160358465	0.0006428453646367585	0.0006429231676156215	0.0006430048693436695	0.0006429445534013575	0.0006428674384369175	0.0006428580355713635	0.0006430397287477009	0.0006428692731424395	0.000642918924859225
0.000586089266871596	0.0005859037896152425	0.000586022128118161	0.000585697901260597	0.0005860357737401115	0.0005860978670534595	0.0005860357737401115	0.0005857511077192575	0.0005861182208172656	0.0005859567094011774
0.0005230325038428455	0.000523219127790101	0.0005231604172149729	0.0005232645940850745	0.0005230507362285026	0.0005230535456212715	0.000523311780416401	0.0005232493430958415	0.000523008136660784	0.000523287699907065
0.000454475437145468	0.000454686141601961	0.000454506913811181	0.0004545109845639225	0.00045461590678313	0.0004545608369517045	0.0004545152273204175	0.000454471538396283	0.00045471827761505096	0.0004545346350642195
0.0003776450527948235	0.000377383291925062	0.000377487153455195	0.00037747256181324047	0.000377370678324943	0.0003773980842379145	0.000377490593527901	0.0003774814773350725	0.0003774112425162415	0.00037742637883640397
0.000298351203673518	0.00029849155864210947	0.0002984976074366865	0.00029847510362738996	0.0002984364028088565	0.0002984846211620145	0.00029856709690650996	0.00029848430582204603	0.00029845082244715597	0.000298540952353511
0.0002156587346689525	0.000215534505041392	0.0002156444296997235	0.00021562940804872998	0.0002155008066619825	0.0002155426035460105	0.00021580260137855448	0.0002156528865452735	0.00021571141078312499	0.000215475364457225
0.00013062198508119948	0.0001307967837783065	0.00013068648644552048	0.000130707356220193	0.00013076815950622698	0.0001306724538153955	0.00013070251145110248	0.000130690557198262	0.000130628363549465	0.0001308393260114405
4.43986970640249e-05	4.429384292962295e-05	4.42156421922856e-05	4.435739827386115e-05	4.43949631517137e-05	4.439207134055705e-05	4.4411830258469945e-05	4.437312585650645e-05	4.446901788469325e-05	4.42915710482315e-05
-4.29866797821911e-05	-4.2910503671013304e-05	-4.29259804150164e-05	-4.315805632359435e-05	-4.298873307561335e-05	-4.303962465200805e-05	-4.29120660373919e-05	-4.3032382582165605e-05	-4.30733767825622e-05	-4.296857281588475e-05
-0.000129860582310353	-0.0001297311065718075	-0.00012974660123290152	-0.00012961099069795152	-0.0001297672990040175	-0.000129704417340699	-0.000129723051068152	-0.000129661301762114	-0.000129684665589587	-0.00012982980799278298
-0.0002146718637960035	-0.0002148251190374395	-0.000214736422494712	-0.000214866858586883	-0.0002148352959193425	-0.000214755643901336	-0.000214728080318331	-0.000214948703651343	-0.0002147432453057365	-0.000214758238289487
