########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	42520
file                           	Q30-018_Q_BOA_004.0A_201105_121919.dat
date                           	05/11/2020
hour                           	12:19:19
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.306
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+3.989350e+00
main_coil_current_std(A)       	+9.880869e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+1.850000e-03
trim_coil_current_std(A)   	+2.978431e-03

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 4 - Medida 1
Main = 160A
Trim = 0.0A
Fator = 1.5%
Rampas de excitação M1



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +6.251887e-05   	  +8.071356e-07   	  -8.383111e-06   	  +4.364779e-07   	  +6.307841e-05   	  +8.020762e-07   	  -1.332942e-01   	  +7.065916e-03   	  -1.245309e-02   	  +1.608033e-04   	  +1.669821e-03   	  +8.694277e-05   
2   	  -4.183624e-01   	  +1.051834e-04   	  -1.135086e-04   	  +1.281563e-04   	  +4.183624e-01   	  +1.051834e-04   	  +1.356582e-04   	  +1.531643e-04   	  +1.000000e+00   	  +3.555572e-04   	  +2.712830e-04   	  +3.063286e-04   
3   	  -6.170537e-02   	  +5.187280e-03   	  +4.540865e-03   	  +5.452834e-03   	  +6.187223e-02   	  +5.188747e-03   	  -2.448568e-02   	  +2.936933e-02   	  +1.769921e-03   	  +1.487888e-04   	  -1.302256e-04   	  +1.564051e-04   
4   	  -6.820516e-02   	  +4.598171e-01   	  +5.627764e-01   	  +4.316278e-01   	  +5.668943e-01   	  +4.320490e-01   	  -3.625476e-01   	  +2.026045e-01   	  +2.350919e-05   	  +1.582687e-04   	  -1.937217e-04   	  +1.485660e-04   
5   	  -6.816049e+01   	  +2.965995e+01   	  -8.619375e+00   	  +2.186799e+01   	  +6.870332e+01   	  +2.955322e+01   	  +2.515787e-02   	  +6.407844e-02   	  +2.815093e-04   	  +1.225072e-04   	  +3.558647e-05   	  +9.032334e-05   
6   	  +2.836013e+04   	  +1.638451e+03   	  +8.481434e+02   	  +1.293219e+03   	  +2.837281e+04   	  +1.638175e+03   	  +4.982880e-03   	  +7.598643e-03   	  -1.405657e-03   	  +8.121007e-05   	  -4.203079e-05   	  +6.409801e-05   
7   	  +1.221311e+05   	  +9.649178e+04   	  -1.048275e+05   	  +1.086399e+05   	  +1.609497e+05   	  +1.018222e+05   	  -1.013292e-01   	  +9.200805e-02   	  -7.263609e-05   	  +5.739102e-05   	  +6.234090e-05   	  +6.461644e-05   
8   	  -1.313986e+07   	  +6.375751e+06   	  -1.076541e+07   	  +9.463497e+06   	  +1.698676e+07   	  +7.764894e+06   	  +8.579943e-02   	  +6.152940e-02   	  +9.378144e-05   	  +4.550575e-05   	  +7.684095e-05   	  +6.754396e-05   
9   	  +1.305456e+09   	  +7.941656e+08   	  +8.930043e+08   	  +4.718082e+08   	  +1.581668e+09   	  +7.075384e+08   	  +6.666050e-02   	  +4.171957e-02   	  -1.117991e-04   	  +6.801853e-05   	  -7.648791e-05   	  +4.040933e-05   
10  	  -1.931885e+12   	  +6.310093e+10   	  -2.986961e+10   	  +5.143874e+10   	  +1.932116e+12   	  +6.309840e+10   	  +1.546015e-03   	  +2.662461e-03   	  +1.985529e-03   	  +6.485538e-05   	  +3.069371e-05   	  +5.286737e-05   
11  	  -2.894736e+12   	  +3.475616e+12   	  -1.330756e+12   	  +7.251555e+12   	  +3.185970e+12   	  +4.375696e+12   	  +3.917311e-02   	  +1.925122e-01   	  +3.570062e-05   	  +4.286575e-05   	  +1.642687e-05   	  +8.943546e-05   
12  	  +2.658325e+13   	  +5.344590e+14   	  +4.408806e+14   	  +4.914929e+14   	  +4.416813e+14   	  +4.916553e+14   	  +1.258811e-01   	  +1.008098e-01   	  -3.920076e-06   	  +7.909959e-05   	  -6.525425e-05   	  +7.274064e-05   
13  	  -5.940092e+15   	  +3.198287e+16   	  +1.207922e+15   	  +3.556158e+16   	  +6.061664e+15   	  +3.213258e+16   	  -1.543195e-02   	  +4.495639e-01   	  +1.054150e-05   	  +5.680133e-05   	  -2.152825e-06   	  +6.315710e-05   
14  	  +3.828461e+19   	  +2.409002e+18   	  -4.553985e+17   	  +2.582048e+18   	  +3.828732e+19   	  +2.409027e+18   	  -8.496084e-04   	  +4.817007e-03   	  -8.159226e-04   	  +5.134083e-05   	  +9.713611e-06   	  +5.502836e-05   
15  	  +9.791724e+19   	  +1.701451e+20   	  +4.267537e+19   	  +1.858773e+20   	  +1.068128e+20   	  +1.727525e+20   	  +2.740058e-02   	  +1.145035e-01   	  -2.503618e-05   	  +4.351340e-05   	  -1.091419e-05   	  +4.753681e-05   

magnetic_center_x(um) 	149.437
magnetic_center_y(um) 	-20.038


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.20120715084711e-06	2.154459115217845e-06	2.177869750994045e-06	2.197905039338175e-06	2.1294608052354346e-06	2.15094491068196e-06	2.173667755869515e-06	2.1446719290451e-06	2.2529231353023398e-06	2.17609461969931e-06
5.61957878517183e-06	5.622345177016245e-06	5.5787601718296945e-06	5.586963043242155e-06	5.55897527419803e-06	5.594377564648655e-06	5.654749049881375e-06	5.615422926439645e-06	5.5322546882050806e-06	5.56546438019695e-06
8.954835484473945e-06	8.94831367986638e-06	8.95268723070337e-06	9.04337883639536e-06	9.027937926475561e-06	9.009714499370904e-06	8.961695921243554e-06	8.985580238913894e-06	9.00043615729331e-06	9.018984778777295e-06
1.226087261783925e-05	1.228676454048105e-05	1.233852688528315e-05	1.226306745592895e-05	1.2269869662299899e-05	1.2294361367825001e-05	1.225757319389395e-05	1.2273743327573399e-05	1.23154927314297e-05	1.23271325401198e-05
1.549911702568235e-05	1.54310107518505e-05	1.54381094853302e-05	1.536641980238035e-05	1.5412574111904898e-05	1.53949652394628e-05	1.544853003906465e-05	1.54313529674258e-05	1.538593863188195e-05	1.5349378900283648e-05
1.839757362176705e-05	1.84447850369952e-05	1.84028179410272e-05	1.8446892081552247e-05	1.84629206705741e-05	1.84808054655108e-05	1.84697309396133e-05	1.8406605604473202e-05	1.8467928484823397e-05	1.843903366534505e-05
2.11780518475305e-05	2.11574257446008e-05	2.11747407774968e-05	2.121382143741375e-05	2.11665813549229e-05	2.11626198961266e-05	2.1146550097906e-05	2.1190344732536e-05	2.115425980264485e-05	2.121718267517195e-05
2.371816753111585e-05	2.3726068948236802e-05	2.37157505216565e-05	2.3656427183593747e-05	2.36860297263798e-05	2.36850890814814e-05	2.3721550269325998e-05	2.374639404478995e-05	2.36988117467238e-05	2.3653390244359348e-05
2.5873837166726002e-05	2.58725453477364e-05	2.5847452525345248e-05	2.589187067315075e-05	2.590594809589465e-05	2.59262803592684e-05	2.58858290453648e-05	2.584855800705835e-05	2.58601951281858e-05	2.589193517451645e-05
2.787134587379515e-05	2.7922106655753302e-05	2.7942168371738048e-05	2.7925222429984748e-05	2.7913780604649698e-05	2.791308183986775e-05	2.789996835417935e-05	2.79423995016236e-05	2.791122921735335e-05	2.79195266011844e-05
2.9630018570971647e-05	2.96051515033506e-05	2.954010187749995e-05	2.95616041239525e-05	2.954876297735825e-05	2.95678947986755e-05	2.9593331628347097e-05	2.95863350220314e-05	2.9570829610745898e-05	2.957848735604525e-05
3.1062552661750546e-05	3.10397406792569e-05	3.10891451408696e-05	3.1077950570756597e-05	3.11002501257448e-05	3.1097354731177846e-05	3.109536593911145e-05	3.107595819528975e-05	3.10595676819458e-05	3.10532823823481e-05
3.24172998989537e-05	3.24645328146338e-05	3.2417980746684147e-05	3.244755103878735e-05	3.2414368670283746e-05	3.24301464206634e-05	3.24175220703135e-05	3.2415139103252e-05	3.244423280193305e-05	3.245398325816795e-05
3.31180570537997e-05	3.311549133286215e-05	3.31017202916004e-05	3.3088816435335746e-05	3.30857275366717e-05	3.30824988850552e-05	3.309626634290665e-05	3.314156780106545e-05	3.308768766146555e-05	3.30779121213684e-05
3.340687982927195e-05	3.34287887926655e-05	3.33877408411341e-05	3.340965697134825e-05	3.3390367480027044e-05	3.344630091305905e-05	3.343336122270125e-05	3.338741833431545e-05	3.33833511649547e-05	3.3402199896956745e-05
3.33643053454551e-05	3.336021309224195e-05	3.34100941472571e-05	3.33810864503937e-05	3.338139462357115e-05	3.3357629454262746e-05	3.3364330429317345e-05	3.339372155096465e-05	3.336871652208645e-05	3.338193571834915e-05
3.31489388736393e-05	3.3111624834419104e-05	3.303372152003815e-05	3.30842404218897e-05	3.30488936742741e-05	3.305702801298575e-05	3.3098176299976e-05	3.3114889320128744e-05	3.309597608677085e-05	3.3063728988050194e-05
3.219997688575435e-05	3.2222093686866496e-05	3.2242956294797196e-05	3.2212819824053746e-05	3.2204599483524445e-05	3.225427986763175e-05	3.224141184546025e-05	3.22107378633491e-05	3.21663573413419e-05	3.22026859430448e-05
3.093902896580245e-05	3.091883287197085e-05	3.08840308025534e-05	3.092587785431575e-05	3.0963077224445746e-05	3.090588243140185e-05	3.08748250245068e-05	3.08787452740945e-05	3.094893350862115e-05	3.09303069479986e-05
2.94705210308123e-05	2.9460170353558997e-05	2.944756212855545e-05	2.9388873053899097e-05	2.934508200268925e-05	2.9448047680493502e-05	2.940437129837385e-05	2.9418298217934398e-05	2.94184003450984e-05	2.9399771992760853e-05
2.762668144896045e-05	2.75425340441904e-05	2.753129468146835e-05	2.7590112758846248e-05	2.75855922882303e-05	2.757225304776195e-05	2.75877262083646e-05	2.761134266620465e-05	2.751428423834935e-05	2.7529345306905398e-05
2.557304042966645e-05	2.567962176727155e-05	2.5697087303341048e-05	2.56065040957801e-05	2.55487413323908e-05	2.56745136175634e-05	2.55930645198529e-05	2.563511403422825e-05	2.5601809829823698e-05	2.56709320001407e-05
2.3367514822893553e-05	2.33189076698165e-05	2.3303800016946248e-05	2.3386472848870352e-05	2.33353626845163e-05	2.32790816608034e-05	2.332932464014065e-05	2.33716017010011e-05	2.333941014513025e-05	2.33149641280717e-05
2.0898515476797202e-05	2.0863147228739498e-05	2.0779829383168252e-05	2.07353592759331e-05	2.08056478459186e-05	2.091030310111785e-05	2.079885907733135e-05	2.0795232667299598e-05	2.080904850118025e-05	2.085155310851595e-05
1.811703031307435e-05	1.810719743844195e-05	1.81041784162492e-05	1.80899791575945e-05	1.8108507174473202e-05	1.80603586977668e-05	1.8034776740027302e-05	1.8094883052984498e-05	1.8057511679219198e-05	1.804368867851795e-05
1.5004245537968449e-05	1.496392143508125e-05	1.4962760410528198e-05	1.501334112617295e-05	1.4931379600966849e-05	1.4921241240699949e-05	1.4956270856602501e-05	1.5032480114310799e-05	1.49188493151127e-05	1.489392670464185e-05
1.1897921649505849e-05	1.18351394257887e-05	1.176959260192145e-05	1.1765918711718e-05	1.18384863299057e-05	1.1916484604630051e-05	1.1801622904387899e-05	1.17934482523153e-05	1.180255369490305e-05	1.18776305953407e-05
8.458132874693656e-06	8.550675311198835e-06	8.568004677727171e-06	8.537216026524834e-06	8.465258483738785e-06	8.5179489315121e-06	8.498292140757288e-06	8.497336266372994e-06	8.450330001323451e-06	8.46870930672592e-06
5.171397774574764e-06	5.180205794204145e-06	5.104507620217015e-06	5.1765681860157e-06	5.1135427383997895e-06	5.05470540019793e-06	5.1248322688483105e-06	5.172117143957075e-06	5.013516351936696e-06	5.0992695719288295e-06
