########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	43220
file                           	Q30-018_Q_BOA_060.0A_201119_120923.dat
date                           	19/11/2020
hour                           	12:09:23
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.511
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+5.999145e+01
main_coil_current_std(A)       	+5.104178e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+3.998500e+00
trim_coil_current_std(A)   	+2.548787e-02

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 5 - Medida 1
Main = 60A
Trim = -10 a 10A
Fator = 1.5%
Rampas de excitação M1



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.009758e-04   	  +2.929723e-06   	  -1.728451e-05   	  +1.644784e-06   	  +1.024445e-04   	  +2.901026e-06   	  -1.695316e-01   	  +1.654444e-02   	  -1.490369e-03   	  +4.324172e-05   	  +2.551133e-04   	  +2.427645e-05   
2   	  -5.646020e+00   	  +8.342488e-05   	  +1.614673e-03   	  +2.038048e-04   	  +5.646020e+00   	  +8.342490e-05   	  -1.429922e-04   	  +1.804853e-05   	  +1.000000e+00   	  +2.089624e-05   	  -2.859842e-04   	  +3.609707e-05   
3   	  -1.561454e-01   	  +1.388112e-02   	  -6.218238e-02   	  +1.078901e-02   	  +1.680715e-01   	  +1.349977e-02   	  +1.263276e-01   	  +2.233678e-02   	  +3.318701e-04   	  +2.950281e-05   	  +1.321618e-04   	  +2.293087e-05   
4   	  -5.527415e+00   	  +4.411232e-01   	  -3.615899e+00   	  +7.293864e-01   	  +6.605077e+00   	  +5.437928e-01   	  +1.448262e-01   	  +2.484518e-02   	  +1.409751e-04   	  +1.125071e-05   	  +9.222228e-05   	  +1.860278e-05   
5   	  -2.343502e+02   	  +6.593567e+01   	  +5.746535e+01   	  +4.680428e+01   	  +2.412929e+02   	  +6.500137e+01   	  -4.809335e-02   	  +3.986308e-02   	  +7.172418e-05   	  +2.018003e-05   	  -1.758758e-05   	  +1.432474e-05   
6   	  +1.852191e+05   	  +4.704648e+03   	  -1.048321e+04   	  +2.317940e+03   	  +1.855155e+05   	  +4.698956e+03   	  -9.423105e-03   	  +2.092778e-03   	  -6.802496e-04   	  +1.727865e-05   	  +3.850148e-05   	  +8.513043e-06   
7   	  -2.809262e+05   	  +1.902766e+05   	  -6.162944e+04   	  +3.779100e+05   	  +2.876069e+05   	  +2.027325e+05   	  +3.085119e-02   	  +1.844664e-01   	  +1.238106e-05   	  +8.385889e-06   	  +2.716032e-06   	  +1.665529e-05   
8   	  +7.144111e+06   	  +2.588479e+07   	  -1.248258e+07   	  +2.099114e+07   	  +1.438239e+07   	  +2.229861e+07   	  -1.313717e-01   	  +2.152577e-01   	  -3.778367e-06   	  +1.368957e-05   	  +6.601619e-06   	  +1.110149e-05   
9   	  +6.518950e+09   	  +1.385894e+09   	  -1.181717e+08   	  +1.383224e+09   	  +6.520021e+09   	  +1.385894e+09   	  -2.013936e-03   	  +2.357227e-02   	  -4.137170e-05   	  +8.795418e-06   	  +7.500153e-07   	  +8.778472e-06   
10  	  -2.729014e+13   	  +1.157742e+11   	  +3.367416e+11   	  +1.267005e+11   	  +2.729221e+13   	  +1.157759e+11   	  -1.233869e-03   	  +4.642309e-04   	  +2.078324e-03   	  +8.817023e-06   	  -2.564515e-05   	  +9.649079e-06   
11  	  +9.092881e+12   	  +1.007252e+13   	  -6.775250e+12   	  +7.737247e+12   	  +1.133951e+13   	  +9.306340e+12   	  -5.821527e-02   	  +6.929629e-02   	  -8.309866e-06   	  +9.205064e-06   	  +6.191739e-06   	  +7.070909e-06   
12  	  -1.039108e+14   	  +4.594479e+14   	  -1.832078e+14   	  +9.721029e+14   	  +2.106242e+14   	  +8.754207e+14   	  +8.790525e-02   	  +2.469927e-01   	  +1.139572e-06   	  +5.038559e-06   	  +2.009239e-06   	  +1.066062e-05   
13  	  -1.581566e+17   	  +3.652840e+16   	  -6.079933e+15   	  +5.159965e+16   	  +1.582734e+17   	  +3.655522e+16   	  +2.955658e-03   	  +2.506891e-02   	  +2.081318e-05   	  +4.807087e-06   	  +8.001025e-07   	  +6.790442e-06   
14  	  +4.272346e+20   	  +2.224285e+18   	  -6.834247e+18   	  +4.129430e+18   	  +4.272893e+20   	  +2.224981e+18   	  -1.142508e-03   	  +6.902409e-04   	  -6.746818e-04   	  +3.512567e-06   	  +1.079249e-05   	  +6.521127e-06   
15  	  +6.022290e+20   	  +3.270669e+20   	  +3.679987e+19   	  +1.786381e+20   	  +6.033523e+20   	  +3.266397e+20   	  +4.068681e-03   	  +1.982456e-02   	  -1.141234e-05   	  +6.197982e-06   	  -6.973385e-07   	  +3.385228e-06   

magnetic_center_x(um) 	17.884
magnetic_center_y(um) 	-3.061


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.407690620203045e-05	2.41704994732584e-05	2.418870498331845e-05	2.409812177574765e-05	2.4159914082699398e-05	2.41595360330408e-05	2.41870601985325e-05	2.41542164621939e-05	2.4134066952686352e-05	2.4211911140807197e-05
7.10255052399589e-05	7.09852062209438e-05	7.10056316529558e-05	7.104757904016716e-05	7.093542550137765e-05	7.095991451933024e-05	7.094339500326476e-05	7.092068335622994e-05	7.101166611392114e-05	7.09330532845372e-05
0.00011711495506463449	0.000117111651161382	0.0001170085278135935	0.0001169772733191615	0.00011705065437131	0.000116988288718858	0.000117015407959104	0.00011709447229803799	0.0001170454225939465	0.00011707987348932199
0.0001612947058310965	0.00016126887661816448	0.00016143024469784047	0.0001614538808644175	0.000161343999207049	0.0001614067088667125	0.0001613944679411465	0.0001613638226262685	0.000161398409691196	0.00016136488331544148
0.000203840938047465	0.000203926868198288	0.0002038572927267355	0.00020377589200503449	0.0002038128297863505	0.0002038594284386045	0.00020377240893136548	0.00020387638513056898	0.0002039086931472155	0.000203793393375207
0.000244492335186836	0.000244484050344941	0.00024441556422970603	0.000244468283344743	0.00024443428395898645	0.0002444438588281955	0.00024444598020634446	0.00024447653951939496	0.000244424594420707	0.0002445167883706265
0.000281690730626043	0.000281709593691637	0.00028175147657749254	0.000281851955369307	0.00028172398466269345	0.000281738805642789	0.00028182916488728497	0.0002817386909737185	0.00028180812310895747	0.000281702627544299
0.00031567627011097046	0.0003157395387824635	0.000315690632414784	0.000315658639738106	0.000315698974591165	0.00031568292091834	0.0003155700865317905	0.000315702672669452	0.0003156997486076125	0.0003157813069992485
0.0003455125945038285	0.0003454068122664445	0.00034545009984868446	0.000345430032757604	0.000345472775661636	0.00034550064025098796	0.0003455457052041655	0.0003454397222958835	0.0003454429330304485	0.0003454725463233965
0.000372882587398672	0.00037287129249311	0.0003730625318712165	0.0003730231143709185	0.0003729504428338715	0.000372841048520028	0.00037294195732098004	0.000372851196734688	0.00037289018422594696	0.000372916156775291
0.0003955727339780745	0.000395677312189972	0.0003955574829888415	0.0003955191261775195	0.00039550166780831	0.000395561955083379	0.0003955356671940665	0.0003957126302702855	0.000395692563179205	0.000395627603138602
0.00041594051610441496	0.0004159705307392575	0.0004160036414395945	0.000415971505426603	0.000415988877793985	0.0004159789589175645	0.0004160045301251125	0.0004158478061435305	0.0004159074627386625	0.0004159029333095405
0.000434107483015374	0.0004340987108298555	0.000434136121621075	0.00043417209904876553	0.000434138931013844	0.0004341358062811065	0.00043410002952441246	0.0004342476086458245	0.0004341811292397665	0.000434210656530887
0.00044301598143646996	0.000443210259545585	0.0004430803107970375	0.000443121735006611	0.000443151892977767	0.00044312256635744597	0.000443306667584658	0.0004430953611153725	0.000443139824055856	0.00044322697256578703
0.00044762017481843997	0.00044760698787286996	0.0004476697692007395	0.00044760853590556797	0.000447599047038285	0.000447471621009781	0.00044742965212209797	0.0004476258796058055	0.0004476735819479985	0.0004475146219192955
0.000447716410853858	0.0004474875886807785	0.000447559400199649	0.000447620719496648	0.00044762934834575454	0.0004475995917163945	0.00044755610346325646	0.00044747110499881597	0.00044763691650588503	0.000447572357807078
0.000443616474804021	0.0004439159331377275	0.000443798339983915	0.0004436615397571985	0.000443792147852926	0.0004437416074506225	0.000443899994133973	0.0004438438062788885	0.000443840337538841	0.0004437572024471655
0.00043292578935510197	0.00043297303302101297	0.00043310713852403096	0.00043307523184918053	0.0004329611074354155	0.000433085236727527	0.00043290494824757396	0.000432835458777849	0.00043295660667353646	0.000433026526152399
0.0004157594822754545	0.00041564323648344203	0.000415465929399913	0.0004156290461832835	0.000415749047388069	0.000415634951641547	0.00041573044232795747	0.000415748502709861	0.00041578637217755946	0.000415692716196671
0.00039572263514853353	0.0003959061630302945	0.000396151698223576	0.0003958854365919355	0.00039593382694874847	0.0003957599026034395	0.000396022007480511	0.000395819100522191	0.000395981557958283	0.000395888905331983
0.00037137827224792153	0.0003711764259787745	0.00037109386423254996	0.0003713200490165155	0.00037136760802239496	0.00037142370987565203	0.0003710533573757375	0.00037129502248717553	0.000371222666290097	0.0003713359020184425
0.000345337208127649	0.000345498375536427	0.00034556597296614395	0.0003454214899102265	0.0003455496899550795	0.0003453991007700005	0.0003456691751489	0.00034552334473118254	0.000345556025422382	0.0003454152977792375
0.000314626445906497	0.0003147956401516875	0.0003147666288714335	0.000314761268091378	0.000314521810360015	0.0003147835998970195	0.0003146297713101325	0.000314592733193466	0.00031477786644241095	0.000314779357140623
0.00028110021346949696	0.0002809901598084735	0.0002808100433321755	0.0002810361421143135	0.000281190601381236	0.00028092210370227747	0.000280982247641033	0.000281086825853029	0.000281070112832827	0.000281029061297905
0.000244258381571842	0.0002443504895200325	0.000244466161966594	0.000244303331855949	0.00024436020772555496	0.0002442285389406545	0.0002444507103063645	0.000244211338576829	0.00024433406317255597	0.0002442511574190215
0.0002027890067983655	0.00020279838099667647	0.0002026012361603065	0.0002027138125413735	0.00020264280370609498	0.000202915099798691	0.00020265646366166698	0.000202676559420089	0.00020281268596590552	0.000202941172683484
0.000160378829459706	0.00016048270532336198	0.0001605713875323695	0.000160460416518585	0.0001606010868272435	0.000160465805965982	0.000160634383864857	0.00016048022560428152	0.000160585233825218	0.00016050105237808948
0.000115818628146394	0.000115782887223803	0.0001159293196542145	0.00011603171915337849	0.0001159371028188645	0.00011590721001995249	0.0001159670314518795	0.000115925958416476	0.000115908550214991	0.000115893198890309
7.049018691759936e-05	7.03758618328674e-05	7.03729449378485e-05	7.02865417770235e-05	7.039635176624509e-05	7.045586502499466e-05	7.036089034954916e-05	7.02941027702743e-05	7.056110975100111e-05	7.04644293728044e-05
2.3695495301584502e-05	2.36789507016469e-05	2.3715881316093047e-05	2.3788534936098398e-05	2.3749052934365752e-05	2.38100998922115e-05	2.38807235109517e-05	2.371013531955835e-05	2.3796196264808053e-05	2.36249146837482e-05
-2.36582188881626e-05	-2.37194163491917e-05	-2.37502515847171e-05	-2.363489626986865e-05	-2.367261165090455e-05	-2.3683911931582e-05	-2.358237782572965e-05	-2.3547434211654598e-05	-2.3714297449262497e-05	-2.35709933349397e-05
-7.04507479167706e-05	-7.045859558274691e-05	-7.044156005576565e-05	-7.049166328215045e-05	-7.027412884781235e-05	-7.043618494207881e-05	-7.033025936835176e-05	-7.04557216886319e-05	-7.02614149122345e-05	-7.05179081705886e-05
