########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	4257
file                           	Q30-008_Q_BOA_006.0A_180507_130858.dat
date                           	07/05/2018
hour                           	13:08:58
operator                       	Lidia Toledo
software_version               	v3.2
bench                          	1
temperature(C)                 	23.43
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+5.997550e+00
main_coil_current_std(A)       	+5.104178e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_24-04-2018_r=13mm_Q30
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282824
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -1.064080e-05   	  +2.883819e-07   	  +3.108128e-06   	  +2.701001e-07   	  +1.108544e-05   	  +2.869869e-07   	  +0.000000e+00   	  +0.000000e+00   	  +1.492633e-03   	  +4.045272e-05   	  -4.359919e-04   	  +3.788820e-05   
2   	  -5.940727e-01   	  +2.544922e-05   	  +2.775397e-04   	  +2.112313e-05   	  +5.940728e-01   	  +2.544922e-05   	  -2.335906e-04   	  +1.777824e-05   	  +1.000000e+00   	  +6.058288e-05   	  -4.671815e-04   	  +3.555649e-05   
3   	  -5.822498e-02   	  +1.357551e-03   	  -1.470283e-02   	  +1.423256e-03   	  +6.005265e-02   	  +1.361579e-03   	  +0.000000e+00   	  +0.000000e+00   	  +1.176118e-03   	  +2.742196e-05   	  +2.969907e-04   	  +2.874914e-05   
4   	  -4.098253e-01   	  +6.757719e-02   	  +5.665534e-01   	  +1.369704e-01   	  +6.992421e-01   	  +1.178346e-01   	  +0.000000e+00   	  +0.000000e+00   	  +9.933960e-05   	  +1.638034e-05   	  -1.373294e-04   	  +3.320088e-05   
5   	  -4.455860e+01   	  +5.915724e+00   	  +7.960094e+00   	  +1.056423e+01   	  +4.526402e+01   	  +6.112690e+00   	  +0.000000e+00   	  +0.000000e+00   	  +1.296091e-04   	  +1.720727e-05   	  -2.315354e-05   	  +3.072855e-05   
6   	  +2.791547e+04   	  +5.718706e+02   	  -1.941739e+03   	  +6.886623e+02   	  +2.798292e+04   	  +5.724900e+02   	  +0.000000e+00   	  +0.000000e+00   	  -9.743847e-04   	  +1.996108e-05   	  +6.777642e-05   	  +2.403763e-05   
7   	  +1.216016e+05   	  +3.626295e+04   	  +2.184870e+03   	  +6.967984e+04   	  +1.216212e+05   	  +3.627870e+04   	  +0.000000e+00   	  +0.000000e+00   	  -5.093389e-05   	  +1.518902e-05   	  -9.147851e-07   	  +2.918595e-05   
8   	  +1.092990e+06   	  +4.695518e+06   	  -2.097316e+06   	  +5.554002e+06   	  +2.365029e+06   	  +5.382160e+06   	  +0.000000e+00   	  +0.000000e+00   	  -5.493990e-06   	  +2.360105e-05   	  +1.054194e-05   	  +2.791605e-05   
9   	  +2.188252e+07   	  +2.903439e+08   	  -4.577708e+07   	  +3.004824e+08   	  +5.073841e+07   	  +2.986227e+08   	  +0.000000e+00   	  +0.000000e+00   	  -1.320134e-06   	  +1.751225e-05   	  +2.761351e-06   	  +1.812376e-05   
10  	  -2.432511e+12   	  +2.514311e+10   	  +4.575599e+10   	  +2.963041e+10   	  +2.432942e+12   	  +2.514484e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.760618e-03   	  +1.819840e-05   	  -3.311770e-05   	  +2.144608e-05   
11  	  -4.771991e+11   	  +1.785505e+12   	  +2.037848e+11   	  +2.423496e+12   	  +5.188903e+11   	  +1.897948e+12   	  +0.000000e+00   	  +0.000000e+00   	  +4.144412e-06   	  +1.550789e-05   	  -1.769654e-06   	  +2.104912e-05   
12  	  -2.383618e+13   	  +2.220412e+14   	  +1.002601e+14   	  +3.554904e+14   	  +1.030546e+14   	  +3.496431e+14   	  +0.000000e+00   	  +0.000000e+00   	  +2.484051e-06   	  +2.314229e-05   	  -1.044910e-05   	  +3.705107e-05   
13  	  -6.255276e+15   	  +2.019275e+16   	  -9.583289e+15   	  +2.091771e+16   	  +1.144412e+16   	  +2.070378e+16   	  +0.000000e+00   	  +0.000000e+00   	  +7.823448e-06   	  +2.525513e-05   	  +1.198611e-05   	  +2.616184e-05   
14  	  +4.838796e+19   	  +2.200872e+18   	  -4.620854e+16   	  +1.615301e+18   	  +4.838798e+19   	  +2.200872e+18   	  +0.000000e+00   	  +0.000000e+00   	  -7.262278e-04   	  +3.303166e-05   	  +6.934843e-07   	  +2.424314e-05   
15  	  -1.562824e+19   	  +1.218426e+20   	  +5.031924e+19   	  +1.499739e+20   	  +5.269030e+19   	  +1.477141e+20   	  +0.000000e+00   	  +0.000000e+00   	  +2.814347e-06   	  +2.194399e-05   	  -9.062302e-06   	  +2.701048e-05   

magnetic_center_x(um) 	17.912
magnetic_center_y(um) 	-5.232


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.643142579473e-06	2.682622834982e-06	2.805498525049e-06	2.8359938824e-06	2.696073352126e-06	2.837366309905e-06	2.69140105047e-06	2.873433686545e-06	3.041487843802e-06	2.877124870793e-06
7.75229636929e-06	7.808162081346e-06	7.661947165616e-06	7.69409325585e-06	7.924773854029e-06	7.567051852675e-06	7.671516868868e-06	7.624402769579e-06	7.41521580494e-06	7.670039849472e-06
1.270770644624e-05	1.246067495231e-05	1.258836346096e-05	1.273746602237e-05	1.240605161001e-05	1.259751024918e-05	1.273844736716e-05	1.266249000764e-05	1.277463616134e-05	1.256111863768e-05
1.748291469994e-05	1.732600503601e-05	1.753114702296e-05	1.716925544315e-05	1.756066376402e-05	1.748627983034e-05	1.7393813323e-05	1.755278026394e-05	1.739231447573e-05	1.727334347379e-05
2.173233406211e-05	2.209391641372e-05	2.16546941374e-05	2.197877256549e-05	2.188925827795e-05	2.185614903283e-05	2.181288255088e-05	2.169927211071e-05	2.200863491453e-05	2.211049104517e-05
2.62487665168e-05	2.616774872877e-05	2.636830868141e-05	2.628004403959e-05	2.606348789413e-05	2.630975905049e-05	2.634901466081e-05	2.64099562628e-05	2.609393595776e-05	2.620613850013e-05
3.034552537429e-05	3.021590782737e-05	3.016217124241e-05	3.006337283296e-05	3.039486364287e-05	3.010009277205e-05	3.00833125948e-05	3.004491918546e-05	3.024775287486e-05	3.004440804943e-05
3.377771645319e-05	3.381100759725e-05	3.381765418453e-05	3.397464388399e-05	3.370907870703e-05	3.392984581296e-05	3.398435728741e-05	3.399946217542e-05	3.388510958757e-05	3.397242107894e-05
3.698689397424e-05	3.700062734424e-05	3.705698327394e-05	3.695411942317e-05	3.705543349497e-05	3.691502934089e-05	3.688867946039e-05	3.696834392031e-05	3.697896681842e-05	3.692900645547e-05
3.994487997261e-05	3.995693623438e-05	3.988052048953e-05	3.992149868282e-05	3.997352177976e-05	3.995964289061e-05	3.98457304982e-05	3.988265234511e-05	3.989239121438e-05	3.99287964683e-05
4.236013410264e-05	4.234171137796e-05	4.228146281093e-05	4.229557453073e-05	4.224140138831e-05	4.234463631292e-05	4.247732067597e-05	4.233721847413e-05	4.23488963861e-05	4.242076465744e-05
4.447122410056e-05	4.457879185793e-05	4.457365503185e-05	4.457476461539e-05	4.459405317903e-05	4.454136069398e-05	4.45336154371e-05	4.4604013965e-05	4.462575816433e-05	4.44172983407e-05
4.656592136598e-05	4.647564855986e-05	4.65198791062e-05	4.649622133002e-05	4.645554872695e-05	4.647165042115e-05	4.642888961826e-05	4.644096043194e-05	4.640878978535e-05	4.652103598346e-05
4.736819391837e-05	4.737182098324e-05	4.733447349281e-05	4.736134724226e-05	4.738730422105e-05	4.741778320749e-05	4.74464832223e-05	4.742611054098e-05	4.744040415972e-05	4.739916766994e-05
4.782255564351e-05	4.784017437487e-05	4.785317651113e-05	4.782221731148e-05	4.783825352206e-05	4.782418545801e-05	4.782175165019e-05	4.78087386e-05	4.781633469975e-05	4.7793117119e-05
4.789140803041e-05	4.790494131157e-05	4.785157216247e-05	4.787320358446e-05	4.784478369402e-05	4.788004662259e-05	4.786634963239e-05	4.790474486072e-05	4.786799036083e-05	4.789775994141e-05
4.756314956467e-05	4.752100358019e-05	4.755934423883e-05	4.757187343785e-05	4.758337672683e-05	4.759628791362e-05	4.757904389407e-05	4.753233952215e-05	4.761186210089e-05	4.755929330713e-05
4.633486241801e-05	4.641234045266e-05	4.640928091248e-05	4.637140227715e-05	4.63715296064e-05	4.634623473976e-05	4.637364691007e-05	4.639145481633e-05	4.62982825411e-05	4.638059181161e-05
4.44472534582e-05	4.448900290299e-05	4.432083005668e-05	4.433753929334e-05	4.434732181835e-05	4.437873212737e-05	4.438978430699e-05	4.439071562956e-05	4.440995689947e-05	4.435161099536e-05
4.240343696438e-05	4.231917773723e-05	4.243187504471e-05	4.248527693562e-05	4.240086491336e-05	4.245197123964e-05	4.240285852575e-05	4.251434438629e-05	4.245004311088e-05	4.240557245794e-05
3.976533844252e-05	3.981265763287e-05	3.98518423026e-05	3.978797030868e-05	3.994297003374e-05	3.982456837548e-05	3.993249265477e-05	3.975284926128e-05	3.984067006968e-05	3.99015370931e-05
3.707544237841e-05	3.691711754072e-05	3.703535185196e-05	3.697520151036e-05	3.685784031404e-05	3.704723712872e-05	3.689911682159e-05	3.693660983117e-05	3.695286432048e-05	3.689977165777e-05
3.376910535735e-05	3.394289524294e-05	3.361520066392e-05	3.379651752766e-05	3.389987978153e-05	3.364531585248e-05	3.375262167538e-05	3.384468800505e-05	3.363919677213e-05	3.376988388482e-05
3.010070577147e-05	3.009691499756e-05	3.037654823856e-05	3.015478796442e-05	3.019057839992e-05	3.023462522833e-05	3.021654993063e-05	3.006844963238e-05	3.033700704691e-05	3.005289545399e-05
2.631633833516e-05	2.633320400491e-05	2.608596696518e-05	2.621211206133e-05	2.606191810628e-05	2.621024941618e-05	2.629414848343e-05	2.645082531672e-05	2.615708035592e-05	2.643966399773e-05
2.194381886511e-05	2.173138454964e-05	2.184601726185e-05	2.187114841945e-05	2.199937443947e-05	2.202638825111e-05	2.181444688176e-05	2.171680716856e-05	2.186445635743e-05	2.194441549364e-05
1.718397652439e-05	1.741035157465e-05	1.741394953569e-05	1.75144032255e-05	1.730271105771e-05	1.720410364214e-05	1.726761001919e-05	1.73564767465e-05	1.728565075609e-05	1.716904262139e-05
1.27040902953e-05	1.263449030375e-05	1.265307128051e-05	1.243498718395e-05	1.251182857231e-05	1.265310220333e-05	1.286877613893e-05	1.274257283512e-05	1.280099513679e-05	1.260409226234e-05
7.847898814362e-06	7.879597433202e-06	7.69810503698e-06	7.859252946218e-06	7.813993761374e-06	7.706114956818e-06	7.544992513431e-06	7.602196092193e-06	7.592955171276e-06	7.827942681615e-06
2.725424110395e-06	2.697349600567e-06	2.924097316281e-06	2.876384996853e-06	2.9248494684e-06	2.982118985528e-06	2.987325842696e-06	2.990225993926e-06	2.930182517957e-06	2.889604274969e-06
-2.085135520247e-06	-2.079017576762e-06	-2.175046120101e-06	-2.113938990078e-06	-2.009152240134e-06	-2.202432824561e-06	-2.23510073738e-06	-2.174142082367e-06	-2.099604898831e-06	-2.139787511624e-06
